decade,timeline
2010,"met,   1,romantic,  7,lived,  6,married,-99"
2010,"met,   2,romantic,  3,lived,  3,married,-99"
2010,"met,   2,romantic,  4,lived,  4,married,-99"
2010,"met,   2,romantic,  3,lived,  3,married,-99"
2010,"met,   1,romantic,  5,lived,  5,married,-99"
2010,"met,   1,romantic,  3,lived,  4,married,-99"
2010,"met,   1,romantic,  5,lived,  5,married,-99"
2010,"met,   2,romantic,  2,lived,  2,married,-99"
2010,"met,   2,romantic, 16,lived, 16,married,-99"
2010,"met,   1,romantic,  4,lived,  4,married,-99"
2010,"met,   1,romantic,  8,lived,  9,married,-99"
2010,"met,   2,romantic,  9,lived,  8,married,-99"
2010,"met,   2,romantic,  5,lived,  5,married,-99"
2010,"met,   1,romantic, 11,lived, 19,married,-99"
2010,"met,   2,romantic,  7,lived,  7,married,-99"
2010,"met,   1,romantic, 11,lived, 11,married,-99"
2010,"met,   2,romantic,  3,lived,  3,married,-99"
2010,"met,   2,romantic,  3,lived,  3,married,-99"
2010,"met,   1,romantic,  3,lived,  3,married,-99"
2010,"met,   1,romantic,  5,lived,  4,married,-99"
2010,"met,   2,romantic,  1,lived,  1,married,-99"
2010,"met,   2,romantic,  3,lived,  3,married,-99"
2010,"met,   2,romantic, 14,lived, 34,married,-99"
2010,"met,   2,romantic, 42,lived, 42,married,-99"
2010,"met,   2,romantic,  3,lived,  3,married,-99"
2010,"met,   1,romantic,  4,lived,  4,married,-99"
2010,"met,   2,romantic,  2,lived,  2,married,-99"
2010,"met,   1,romantic,  3,lived,  3,married,-99"
2010,"met,   1,romantic,  4,lived,  4,married,-99"
2010,"met,   2,romantic,  3,lived,  3,married,-99"
2010,"met,   1,romantic,  2,lived,  2,married,-99"
2010,"met,   1,romantic,  4,lived,  4,married,-99"
2010,"met,   2,romantic,  2,lived,  2,married,-99"
2010,"met,   2,romantic,  3,lived,  3,married,-99"
2010,"met,   1,romantic,  5,lived,  6,married,-99"
2010,"met,   2,romantic,  5,lived,  5,married,-99"
2010,"met,   1,romantic,  2,lived,  2,married,-99"
2010,"met,   1,romantic,  2,lived,  2,married,-99"
2010,"met,   2,romantic,  1,lived,  2,married,-99"
2010,"met,   1,romantic,  3,lived,  3,married,-99"
2010,"met,   2,romantic,  4,lived,  5,married,-99"
2010,"met,   1,romantic,  3,lived,  3,married,-99"
2010,"met,   2,romantic,  2,lived,  2,married,-99"
2010,"met,   2,romantic,  6,lived,  7,married,-99"
2010,"met,   1,romantic,  7,lived,  7,married,-99"
2010,"met,   1,romantic, 10,lived, 10,married,-99"
2010,"met,   2,romantic, 11,lived, 11,married,-99"
2010,"met,   1,romantic,  6,lived,  6,married,-99"
2010,"met,   2,romantic,  5,lived,  6,married,-99"
2010,"met,   2,romantic,  5,lived,  5,married,-99"
2010,"met,   1,romantic,  2,lived,  2,married,-99"
2010,"met,   2,romantic,  3,lived,  4,married,-99"
2010,"met,   2,romantic,  4,lived,  4,married,-99"
2010,"met,   1,romantic,  3,lived,  3,married,-99"
2010,"met,   4,romantic,  8,lived, 31,married,-99"
2010,"met,   2,romantic,  9,lived,  9,married,-99"
2010,"met,   1,romantic, 10,lived, 10,married,-99"
2010,"met,   1,romantic, 10,lived,  9,married,-99"
2010,"met,   2,romantic,  9,lived,  8,married,-99"
2010,"met,   1,romantic, 11,lived, 11,married,-99"
2010,"met,   1,romantic, 14,lived, 14,married,-99"
2010,"met,   2,romantic, 15,lived, 15,married,-99"
2010,"met,   1,romantic, 16,lived, 16,married,-99"
2010,"met,   2,romantic, 18,lived, 18,married,-99"
2010,"met,   5,romantic, 20,lived, 19,married,-99"
2010,"met,   1,romantic, 18,lived, 18,married,-99"
2010,"met,   2,romantic, 21,lived, 21,married,-99"
2010,"met,   1,romantic,  9,lived,  9,married,-99"
2010,"met,   2,romantic, 49,lived, 49,married,-99"
2010,"met,   2,romantic,  7,lived,  7,married,-99"
2010,"met,   1,romantic, 11,lived, 11,married,-99"
2010,"met,   2,romantic,  9,lived, 10,married,-99"
2010,"met,   2,romantic,  7,lived,  7,married,-99"
2010,"met,   1,romantic,  7,lived,  7,married,-99"
2010,"met,   2,romantic,  6,lived,  6,married,-99"
2010,"met,   2,romantic, 11,lived, 12,married,-99"
2010,"met,   1,romantic, 15,lived, 14,married,-99"
